Rank,Strategy,Total_Return_x,Benchmark_Return_x,CAGR_%,MDD_%,Sharpe_Ratio,Beats_Benchmark
1,Momentum_20,141.89252470999983,95.93905823808178,92.24637015263208,-59.97217898937146,1.4776566845300458,Yes
2,EMA_10_50_Cross,131.77167259194553,95.93905823808178,90.37898125112025,-37.25087368148585,1.4335101320290338,Yes
3,EMA_20_50_Cross,112.45711136985763,95.93905823808178,86.44003440458823,-50.652560234697155,1.4134828238076051,Yes
4,Price_Above_All_MAs,100.64001384987371,95.93905823808178,83.72959756742758,-34.88909112423824,1.7329409850826074,Yes
5,EMA_10_30_Cross,96.63234626945234,95.93905823808178,82.74740156994488,-48.47890801055341,1.3896213877647252,Yes
6,MACD_Cross,78.79264617329659,95.93905823808178,77.89322423748241,-58.53182022238159,1.406535568683787,No
7,MACD_Bullish,78.79264617329659,95.93905823808178,77.89322423748241,-58.53182022238159,1.406535568683787,No
8,ROC_10,72.75583137178326,95.93905823808178,76.03258727102966,-47.061770559258306,1.348746264724504,No
9,SMA_10_30_Cross,65.76233662015127,95.93905823808178,73.70151492730108,-44.98652387434763,1.4280677731003588,No
10,SMA_10_50_Cross,48.37423399255656,95.93905823808178,66.80616525225051,-46.43065580448533,1.3364324258241242,No
11,SMA_5_20_Cross,43.88360832334708,95.93905823808178,64.67621901830951,-61.0705878632775,1.3269930297587955,No
12,SMA_20_50_RSI50,41.932892939174856,95.93905823808178,63.69147282677883,-36.56537998904718,1.4429927102503912,No
13,SMA_20_50_Cross,29.31839909005162,95.93905823808178,56.14418432827981,-47.99630000797682,1.2431901955540363,No
14,Triple_SMA_10_30_100,21.88948069272307,95.93905823808178,50.2402179144414,-33.62917483726381,1.514169011354617,No
15,Triple_SMA_20_50_200,15.315458039699891,95.93905823808178,43.326578944515546,-51.097444761536,1.234499544960954,No
16,SMA_20_100_Cross,9.385108202440804,95.93905823808178,34.36042812856876,-50.461709772005015,1.141801433999648,No
17,SMA_50_200_Cross,8.897416480244194,95.93905823808178,33.41798901132857,-64.99911555349269,0.8797617153506797,No
18,SMA_10_30_ADX30,7.331026210099371,95.93905823808178,30.053228772066596,-58.12411209655852,0.9706537118385509,No
19,Cascade_Trend_10_20_50_100,6.69311748327387,95.93905823808178,28.500858070313196,-47.016914088110354,1.2525239916505815,No
20,SMA_20_50_ADX25,6.3440029510150815,95.93905823808178,27.59604289475728,-48.08689155659865,0.9477858932111198,No
21,BB_Upper_Breakout,5.24743375527475,95.93905823808178,24.441695216449677,-19.16829566745097,1.0107948760608438,No
22,Donchian_20_Breakout,4.222090375502748,95.93905823808178,20.92367856104662,-21.440609859649122,0.7937445857165215,No
23,Donchian_55_Breakout,3.622571329980976,95.93905823808178,18.505402786780678,-18.85221451441889,0.7652987535335452,No
