Buy MA,Sell MA,Relation,Total Return,Total Return (x),CAGR (%),MDD (%),Trades
30,35,빠른매수-느린매도,238.34919130681035,238.35x,96.13%,-61.06%,200
35,45,빠른매수-느린매도,214.9662341339754,214.97x,93.65%,-59.18%,200
35,30,느린매수-빠른매도,208.82678297176903,208.83x,92.97%,-43.77%,192
35,40,빠른매수-느린매도,193.3040427499022,193.30x,91.14%,-59.49%,178
40,35,느린매수-빠른매도,193.2817140932283,193.28x,91.14%,-53.23%,170
30,50,빠른매수-느린매도,189.87518956576002,189.88x,90.72%,-61.47%,270
30,45,빠른매수-느린매도,188.2320980674834,188.23x,90.52%,-59.95%,252
30,40,빠른매수-느린매도,182.03872865517906,182.04x,89.73%,-57.31%,226
45,40,느린매수-빠른매도,177.09439951773433,177.09x,89.09%,-49.75%,146
40,45,빠른매수-느린매도,176.7630659392676,176.76x,89.05%,-50.03%,154
45,35,느린매수-빠른매도,174.33507343021006,174.34x,88.73%,-52.98%,184
35,50,빠른매수-느린매도,167.06732804825407,167.07x,87.74%,-61.82%,222
40,50,빠른매수-느린매도,166.6565284174844,166.66x,87.68%,-49.23%,170
45,50,빠른매수-느린매도,166.22120344343347,166.22x,87.62%,-50.47%,136
20,45,빠른매수-느린매도,161.1944409505916,161.19x,86.91%,-55.43%,388
40,30,느린매수-빠른매도,159.30060287602873,159.30x,86.64%,-53.83%,218
25,30,빠른매수-느린매도,154.80903509062068,154.81x,85.99%,-49.43%,236
35,25,느린매수-빠른매도,150.09010285949498,150.09x,85.28%,-43.01%,258
20,30,빠른매수-느린매도,148.17261137089832,148.17x,84.99%,-48.96%,304
30,25,느린매수-빠른매도,147.4036997306476,147.40x,84.87%,-43.00%,244
20,40,빠른매수-느린매도,144.88885511135024,144.89x,84.48%,-50.92%,370
20,35,빠른매수-느린매도,142.1810440856305,142.18x,84.05%,-50.97%,334
45,30,느린매수-빠른매도,141.20094688097797,141.20x,83.89%,-53.58%,234
20,50,빠른매수-느린매도,136.21947318197144,136.22x,83.08%,-58.67%,414
50,45,느린매수-빠른매도,132.18561901716967,132.19x,82.41%,-59.01%,146
25,35,빠른매수-느린매도,129.7688763569426,129.77x,81.99%,-61.36%,264
40,25,느린매수-빠른매도,122.6495229298901,122.65x,80.73%,-53.00%,284
50,35,느린매수-빠른매도,122.31764675842322,122.32x,80.67%,-59.45%,208
35,20,느린매수-빠른매도,121.51331845573968,121.51x,80.53%,-42.94%,316
50,40,느린매수-빠른매도,119.29728551354164,119.30x,80.12%,-57.54%,168
30,20,느린매수-빠른매도,118.56333898373575,118.56x,79.98%,-45.05%,294
20,25,빠른매수-느린매도,117.55837717175577,117.56x,79.79%,-51.09%,284
25,40,빠른매수-느린매도,116.90549337906356,116.91x,79.67%,-56.33%,286
25,45,빠른매수-느린매도,116.18550085306003,116.19x,79.53%,-60.13%,314
40,20,느린매수-빠른매도,115.29381268525351,115.29x,79.36%,-40.94%,348
25,20,느린매수-빠른매도,109.47564109437121,109.48x,78.22%,-55.90%,274
45,20,느린매수-빠른매도,109.20674475047694,109.21x,78.17%,-47.19%,364
25,50,빠른매수-느린매도,108.01250709674933,108.01x,77.93%,-63.78%,332
45,25,느린매수-빠른매도,107.79225622909927,107.79x,77.88%,-52.75%,300
50,30,느린매수-빠른매도,102.19810580169577,102.20x,76.72%,-52.00%,256
50,25,느린매수-빠른매도,72.62174678905897,72.62x,69.44%,-54.40%,324
50,20,느린매수-빠른매도,70.96224607459875,70.96x,68.96%,-53.56%,388
